Time,Port Aileron,Starboard Aileron,Port Flap,Starboard Flap,Elevator,Rudder,Roll,Pitch,Yaw
1732897840.075103,0,0,0,0,0,21,,,
1732897840.127815,0,0,0,0,0,21,,,
1732897840.1796658,0,0,0,0,0,21,,,
1732897840.2319329,0,0,0,0,0,21,,,
1732897840.2843451,0,0,0,0,0,21,,,
1732897840.3369331,0,0,0,0,0,21,,,
1732897840.389816,0,0,0,0,0,21,,,
1732897840.442554,0,0,0,0,0,21,,,
1732897840.4951968,0,0,0,0,0,21,,,
1732897840.547981,0,0,0,0,0,21,,,
1732897840.600438,0,0,0,0,0,21,,,
1732897840.652181,0,0,0,0,0,21,,,
1732897840.7036731,0,0,0,0,0,21,,,
1732897840.755172,0,0,0,0,0,21,,,
1732897840.8071208,0,0,0,0,0,21,,,
1732897840.858525,0,0,0,0,0,21,,,
1732897840.910797,0,0,0,0,0,21,,,
1732897840.962983,0,0,0,0,0,21,,,
1732897841.014512,0,0,0,0,0,21,,,
1732897841.0668118,0,0,0,0,0,21,,,
1732897841.119148,0,0,0,0,0,21,,,
1732897841.171434,0,0,0,0,0,21,,,
1732897841.223507,0,0,0,0,0,21,,,
1732897841.2755132,0,0,0,0,0,21,,,
1732897841.3280482,0,0,0,0,0,21,,,
1732897841.380432,0,0,0,0,0,21,,,
1732897841.4326642,0,0,0,0,0,21,,,
1732897841.484852,0,0,0,0,0,21,,,
1732897841.537183,0,0,0,0,0,21,,,
1732897841.589522,0,0,0,0,0,21,,,
1732897841.641682,0,0,0,0,0,21,,,
1732897841.693942,0,0,0,0,0,21,,,
1732897841.746261,0,0,0,0,0,21,,,
1732897841.798559,0,0,0,0,0,21,,,
1732897841.850671,0,0,0,0,0,21,,,
1732897841.90293,0,0,0,0,0,21,,,
1732897841.95519,0,0,0,0,0,21,,,
1732897842.007554,0,0,0,0,0,21,,,
1732897842.059937,0,0,0,0,0,21,,,
1732897842.1121678,0,0,0,0,0,21,,,
1732897842.164433,0,0,0,0,0,21,,,
1732897842.216735,0,0,0,0,0,21,,,
1732897842.2689312,0,0,0,0,0,21,,,
1732897842.321166,0,0,0,0,0,21,,,
1732897842.373493,0,0,0,0,0,21,,,
1732897842.425359,0,0,0,0,0,21,,,
1732897842.4776719,0,0,0,0,0,21,,,
1732897842.530158,0,0,0,0,0,21,,,
1732897842.582326,0,0,0,0,0,21,,,
1732897842.634496,0,0,0,0,0,21,,,
1732897842.6866229,0,0,0,0,0,21,,,
1732897842.738965,0,0,0,0,0,21,,,
1732897842.791222,0,0,0,0,0,21,,,
1732897842.84346,0,0,0,0,0,21,,,
1732897842.8956742,0,0,0,0,0,21,,,
1732897842.9480362,0,0,0,0,0,21,,,
1732897843.00041,0,0,0,0,0,21,,,
1732897843.052486,0,0,0,0,0,21,,,
1732897843.1048388,0,0,0,0,0,21,,,
1732897843.156445,0,0,0,0,0,21,,,
1732897843.208756,0,0,0,0,0,21,,,
1732897843.2610319,0,0,0,0,0,21,,,
1732897843.313386,0,0,0,0,0,21,,,
1732897843.3656168,0,0,0,0,0,21,,,
1732897843.4178839,0,0,0,0,0,21,,,
1732897843.470169,0,0,0,0,0,21,,,
1732897843.522462,0,0,0,0,0,21,,,
1732897843.5747352,0,0,0,0,0,21,,,
1732897843.6264,0,0,0,0,0,21,,,
1732897843.6786728,0,0,0,0,0,21,,,
1732897843.730765,0,0,0,0,0,21,,,
1732897843.783066,0,0,0,0,0,21,,,
1732897843.8350022,0,0,0,0,0,21,,,
1732897843.887267,0,0,0,0,0,21,,,
1732897843.93952,0,0,0,0,0,21,,,
1732897843.991861,0,0,0,0,0,21,,,
1732897844.043514,0,0,0,0,0,21,,,
1732897844.095256,0,0,0,0,0,21,,,
1732897844.1472268,0,0,0,0,0,21,,,
1732897844.199699,0,0,0,0,0,21,,,
1732897844.2522838,0,0,0,0,0,21,,,
1732897844.304749,0,0,0,0,0,21,,,
1732897844.356492,0,0,0,0,0,21,,,
1732897844.4091609,0,0,0,0,0,21,,,
1732897844.461805,0,0,0,0,0,21,,,
1732897844.5145159,0,0,0,0,0,21,,,
1732897844.567219,0,0,0,0,0,21,,,
1732897844.620095,0,0,0,0,0,21,,,
1732897844.6728268,0,0,0,0,0,21,,,
1732897844.725499,0,0,0,0,0,21,,,
1732897844.777537,0,0,0,0,0,21,,,
1732897844.83043,0,0,0,0,0,21,,,
1732897844.8830929,0,0,0,0,0,21,,,
1732897844.93581,0,0,0,0,0,21,,,
1732897844.988436,0,0,0,0,0,21,,,
1732897845.040589,0,0,0,0,0,21,,,
1732897845.093353,0,0,0,0,0,21,,,
1732897845.1460679,0,0,0,0,0,21,,,
1732897845.198957,0,0,0,0,0,21,,,
1732897845.251182,0,0,0,0,0,21,,,
1732897845.303926,0,0,0,0,0,21,,,
1732897845.3564422,0,0,0,0,0,21,,,
1732897845.4092531,0,0,0,0,0,21,,,
1732897845.462053,0,0,0,0,0,21,,,
